case,grid,porosity,relative_density,E_rel_z,E_rel_x,K_sc_z,D_eff_z,specific_surface_per_mm,pore_size_um,strut_thickness_um,family,topology,mode,n_cells,target_porosity,n_struts,n_layers,strut_d,stagger
TPMS|diamond|network|c1|P0.60,24,0.6042,0.3958,0.108072,0.108072,8.096,0.394282,2.8958,833.3,666.7,TPMS,diamond,network,1.0,0.6,,,,
TPMS|diamond|network|c1|P0.60,32,0.5996,0.4004,0.11298,0.11298,8.178,0.400104,2.8477,800.4,625.0,TPMS,diamond,network,1.0,0.6,,,,
TPMS|diamond|network|c1|P0.60,44,0.6004,0.3996,0.111636,0.111636,8.182,0.405437,2.8884,787.3,582.1,TPMS,diamond,network,1.0,0.6,,,,
TPMS|diamond|network|c1|P0.75,16,0.7656,0.2344,0.034698,0.034698,18.971,0.573251,2.4375,1030.8,559.0,TPMS,diamond,network,1.0,0.75,,,,
TPMS|diamond|network|c1|P0.75,20,0.753,0.247,0.038383,0.038383,17.741,0.580967,2.34,979.8,565.7,TPMS,diamond,network,1.0,0.75,,,,
TPMS|diamond|network|c1|P0.75,24,0.7454,0.2546,0.040276,0.040276,17.158,0.574298,2.3958,897.5,527.0,TPMS,diamond,network,1.0,0.75,,,,
TPMS|diamond|network|c1|P0.75,32,0.75,0.25,0.040339,0.040339,17.622,0.57996,2.543,918.6,467.7,TPMS,diamond,network,1.0,0.75,,,,
TPMS|diamond|network|c1|P0.75,44,0.7514,0.2486,0.038902,0.038902,17.676,0.594299,2.5847,913.6,454.5,TPMS,diamond,network,1.0,0.75,,,,
TPMS|diamond|network|c2|P0.40,16,0.5,0.5,0.196474,0.196474,4.208,0.233375,5.625,433.0,433.0,TPMS,diamond,network,2.0,0.4,,,,
TPMS|diamond|network|c2|P0.40,20,0.404,0.596,0.290901,0.290901,3.704,0.169142,5.88,346.4,447.2,TPMS,diamond,network,2.0,0.4,,,,
TPMS|diamond|network|c2|P0.40,24,0.375,0.625,0.312694,0.312694,3.607,0.162612,5.5833,372.7,408.2,TPMS,diamond,network,2.0,0.4,,,,
TPMS|diamond|network|c2|P0.40,32,0.3828,0.6172,0.295976,0.295976,3.744,0.170939,5.8594,306.2,395.3,TPMS,diamond,network,2.0,0.4,,,,
TPMS|diamond|network|c2|P0.40,44,0.4008,0.5992,0.271715,0.271715,3.997,0.210943,5.7893,314.9,396.3,TPMS,diamond,network,2.0,0.4,,,,
TPMS|diamond|network|c2|P0.60,16,0.5,0.5,0.196474,0.196474,4.208,0.233375,5.625,433.0,433.0,TPMS,diamond,network,2.0,0.6,,,,
TPMS|diamond|network|c2|P0.60,20,0.596,0.404,0.106865,0.106865,6.752,0.343805,5.88,447.2,346.4,TPMS,diamond,network,2.0,0.6,,,,
TPMS|diamond|network|c2|P0.60,24,0.625,0.375,0.097152,0.097152,7.432,0.387763,5.5833,408.2,372.7,TPMS,diamond,network,2.0,0.6,,,,
TPMS|diamond|network|c2|P0.60,32,0.6172,0.3828,0.106757,0.106757,7.612,0.379174,5.8594,395.3,306.2,TPMS,diamond,network,2.0,0.6,,,,
TPMS|diamond|network|c2|P0.60,44,0.5992,0.4008,0.11447,0.11447,7.398,0.391508,5.7893,396.3,314.9,TPMS,diamond,network,2.0,0.6,,,,
TPMS|diamond|network|c2|P0.75,16,0.6875,0.3125,0.086002,0.086002,7.56,0.387975,5.8125,559.0,353.6,TPMS,diamond,network,2.0,0.75,,,,
TPMS|diamond|network|c2|P0.75,20,0.74,0.26,0.048459,0.048459,12.091,0.50461,5.16,489.9,282.8,TPMS,diamond,network,2.0,0.75,,,,
TPMS|diamond|network|c2|P0.75,24,0.6806,0.3194,0.074129,0.074129,9.676,0.448137,5.4167,500.0,288.7,TPMS,diamond,network,2.0,0.75,,,,
TPMS|diamond|network|c2|P0.75,32,0.7656,0.2344,0.038453,0.038453,16.985,0.58821,5.0625,500.0,216.5,TPMS,diamond,network,2.0,0.75,,,,
TPMS|diamond|network|c2|P0.75,44,0.7554,0.2446,0.039769,0.039769,16.299,0.586061,5.0826,463.5,222.7,TPMS,diamond,network,2.0,0.75,,,,
TPMS|diamond|sheet|c1|P0.40,16,0.4219,0.5781,0.349816,0.349816,3.312,0.078936,4.7812,559.0,353.6,TPMS,diamond,sheet,1.0,0.4,,,,
TPMS|diamond|sheet|c1|P0.40,20,0.422,0.578,0.344439,0.344439,3.657,0.128884,4.62,489.9,400.0,TPMS,diamond,sheet,1.0,0.4,,,,
TPMS|diamond|sheet|c1|P0.40,24,0.412,0.588,0.365447,0.365447,3.353,0.128934,4.4583,500.0,372.7,TPMS,diamond,sheet,1.0,0.4,,,,
TPMS|diamond|sheet|c1|P0.40,32,0.4004,0.5996,0.369503,0.369503,3.29,0.135329,4.7344,433.0,375.0,TPMS,diamond,sheet,1.0,0.4,,,,
TPMS|diamond|sheet|c1|P0.40,44,0.4018,0.5982,0.357154,0.357154,3.482,0.143903,4.7851,406.6,340.2,TPMS,diamond,sheet,1.0,0.4,,,,
TPMS|diamond|sheet|c1|P0.60,16,0.5312,0.4688,0.249314,0.249314,4.734,0.183351,4.9688,559.0,353.6,TPMS,diamond,sheet,1.0,0.6,,,,
TPMS|diamond|sheet|c1|P0.60,20,0.598,0.402,0.203126,0.203126,5.566,0.24064,5.22,600.0,282.8,TPMS,diamond,sheet,1.0,0.6,,,,
